,CU,US,CA,AU,AR,BR,SV,IN,MX,ES,KR,PK,GB,KY,VN,NL,IT,DE,DK,NO,SG,BE,FI,CH,SE,GL,NG,JP,BS,PH,TM,IR,RU,PE,CL,EC,KE,TD,LB,ZW,AT,SA,GE,ET,CI,FR,PT,SD,ZA,AE,EG,LY,OM,QA,LK,GR,BO,VE,NP,HU,CZ,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,IL,MA,GU,AM,RW,DJ,IE,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,SI,UZ,GA,GH,BJ,CD,KZ,KG,SY,SS,JO,WS,SR,BH,HT,MD,IQ,MM,MV,PA,NU,PG,MN,LT,TH,TV,NI,MG,BZ,MP,BD,GQ,KP,IS,KH,MZ,GY,NE,GF,JM,LI,RS,BB,AZ,AL,AW,SH,AF,CV,FM,SB,AS,UY,GP,HN,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,SN,CF,ML,ZM,KM,GN,BA,GM,BY,AO,BT,HR,MU,MQ,VC,SO,BN,SZ,TW,KI,MH,SL,ST,AN,MW,FO,EH,MS,FJ,LR,BI,XK,MC,GD,NC,AQ,AI,MT,CG,TT,AG,AD,LC,LA,BM,TK,DM,TC,BW,ME,KN,GS,GI,PS,LS,TG,TO,VU,WF,PM,FK,NR,IM
CU,0.994929024299,1.86806259606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82984452489e-05,0.0,0.0,0.0,1.91789553352e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84279619441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423276447033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,0.00358667849109,0.993892287977,0.0445603966589,0.000513164320877,0.000472970398795,8.39585934726e-06,0.0,0.0,0.0,0.000492668918049,0.0,2.97919336466e-05,0.000924999889852,0.0,0.0,0.00134650955072,0.000165919935921,3.3059254432e-07,0.0,0.0,0.0184923996062,1.14890865483e-05,0.0,0.0,0.0,0.0561408039199,0.0,0.000102667684232,0.0,0.000999806146344,0.0,0.0,7.43849836828e-06,0.000170613543948,0.000858431534913,0.0,0.0,0.0,0.0,0.0,0.0,2.42988530511e-05,0.0,0.0,0.0,0.000156473148254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89023583141e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.40564544275e-06,9.6057525883e-05,0.0,0.0,0.0,0.0,0.00205631564485,0.0,0.0,0.0,3.0790520881e-05,0.0,0.0,0.00525819627137,0.0,0.0148279870615,0.0,0.0,0.0,0.0233748782537,0.0,0.0,0.0,0.0,0.0,0.0,6.98687276558e-06,2.78261732264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00216397329428,0.0,0.0,0.000568145911572,0.0,0.0,0.0,0.0,0.0,0.0,7.00365842193e-06,0.0,0.0,0.0,0.0,0.000449870227253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262647287558,0.0,0.0,0.0,0.0,0.0,0.00546438065668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46215429602e-05,0.0,0.230049808777,0.0,0.0,0.00263623005312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00314328776045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0,0.0053395943528,0.955395869803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938115909176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.0,2.80270570774e-05,0.0,0.993042819519,0.0,1.18407808069e-05,0.0,0.0,0.0,0.000325707607913,2.6109820783e-05,0.0,0.00054198933044,0.0,0.0,0.000214581655301,5.26063711227e-05,0.000295320712583,0.0,0.000119525316885,0.00105349449221,0.0,0.0,0.0,0.0,0.0,0.0,0.000118441557794,0.0,0.0,0.0,0.0,0.0,0.000775516108856,0.0,0.0,0.0,0.0,0.0,0.0,0.000205929798244,0.0,0.0,0.0,0.0,0.000246855953988,0.0,0.0,1.92879593841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00196758327943,0.0,0.0,0.0,0.0,1.97227519546e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.27311652504e-05,0.0,0.0,0.0,0.0,3.7230246866e-07,0.000162675818661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00611105093621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00983624224672,0.0,0.0,0.00258248141624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024838093894,0.0,0.0,0.0,0.0,0.00599734243433,2.22358720836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143633902136,0.0,0.0,0.0144165326027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030306890763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142876716384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,1.4594939641e-05,0.0,0.0,0.995362029098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121072176151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000175663999326,0.0,0.0,0.0,0.0,4.20547985134e-05,3.59397139672e-05,0.0,1.44080485887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000709047855374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167772478459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000248875244403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000834785196793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023436240956,0.0,0.0,0.000210041708428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00154801756917,0.0,0.0,0.0,0.00311556519005,0.0,0.0,0.0,0.0,9.95379712888e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301739686673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,0.0,9.61545322938e-07,0.0,2.48292672081e-05,0.0,0.998086789619,0.0,0.0,0.000327991585384,0.000655931460448,0.0,0.0,0.0,0.0,0.0,0.0,2.67378892753e-05,0.0,0.0,0.0,0.0,0.00093110865437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69843325798e-05,0.0,0.0,0.0,0.0,0.00141432410673,0.0,0.0,0.0,9.06283316689e-05,0.0,0.0,8.47223932049e-06,0.0,8.6300419772e-05,0.0,0.0,0.000179208246163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90841045929e-07,6.61832012111e-05,0.0,0.0,0.0,0.0,1.16661907286e-05,0.0,0.0,0.0,0.000295150546956,0.0,0.0,0.00147404966341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286555762836,0.0,0.0,0.00405160376781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938701192446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295866070359,0.0,0.0,3.12054236909e-06,0.00112390362208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269170327745,0.0,0.0,0.00270166217577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015953668946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999643694148,0.0,9.84830014519e-06,3.59969635402e-05,0.0,2.30542426985e-05,0.0,0.0,0.0,9.90573087372e-05,0.000141394860486,0.0,0.0,0.0,0.0,0.0,0.0,1.92836855619e-06,0.0,0.0,9.42983104866e-05,0.0,0.00016149958555,0.0,0.0,0.0,0.0,0.00149269224774,0.0,8.16922517268e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96899687869e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17834927038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54391249119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50648234092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX,0.0,0.0,0.0,0.0,0.0,0.000167586455172,0.0,0.0,0.962801774592,0.0201360333113,0.0,0.0,2.82897619386e-05,0.0,0.0,0.0,0.000167421873066,1.04519288454e-06,0.0,0.0,0.0,0.0,0.0,1.52078583523e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00355053054271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102813185368,0.00297534255316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131260623342,0.0,0.0,0.000131962744731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000212207258841,0.0,0.0,0.00370046605759,0.0,0.0,0.000654579509957,6.47242156871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360961145645,0.0,0.0,0.0107430464085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235652297687,0.0,0.0,0.0,0.0,0.0,0.0,0.0010639178383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029874058032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116163686191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,4.39712323165e-05,0.0,0.000532255712709,0.0,0.000511172320635,0.0,3.73029954088e-06,0.0307118922956,0.955082762285,7.33795306347e-06,0.00047014901177,0.00116466218487,0.0,0.0,0.00345322741304,0.00351234238416,0.00211660229543,0.00020499029472,0.000887343390688,1.64316629584e-06,0.0024090027532,0.0,6.49210099365e-05,9.99306859816e-05,0.0,0.0,0.00100406575179,0.0,0.0,0.0,0.0,0.0,0.000130329790516,0.000858037448842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00137504515451,0.0049481331389,0.0,0.0,0.000393420110525,0.0,0.0,0.0,0.0,0.0,0.00178464501284,0.0,0.0,0.0,0.0224291551165,0.000304993156289,8.99311135253e-05,0.0100544023393,0.0,0.0,0.0,0.0,0.000297867591838,0.0,0.0,0.0,0.00356095046123,0.0,0.0,0.0,5.87296338603e-06,0.0,0.00149574865018,8.32272439671e-06,0.0,0.0,0.0,0.0,0.0,0.000409476990948,0.0,0.00146332297171,0.000101627240227,7.34702236132e-05,0.00770743921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15911114971e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84469579949e-05,0.0,0.0143391187398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250113108494,0.0,0.0,0.0,0.0,0.0014361199902,0.0,0.0,0.0,0.0,2.60375361694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805022450135,0.0,0.000728975463242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038345164409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,0.0,0.0,0.0,4.01550569753e-05,0.0,0.0,0.0,1.28319372176e-05,0.0,6.90587728252e-06,0.985654411587,0.0,1.97884108198e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.72219429914e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000472034833177,0.0,0.000130844571626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103073548262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69163481441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK,0.0,6.8823223993e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121690976335,0.0,0.968330794878,0.00527590483048,0.0,0.0,0.0,2.2776983683e-06,0.000103944812026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42416826159e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00121231749113,0.0,0.0,0.0,0.0,0.0,0.00401321790158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.000288231706274,7.58871458531e-05,0.0,0.000814134634268,0.000321886338164,0.0,0.0,8.02687234969e-06,3.96620367746e-05,0.001070564997,1.93276946524e-06,0.0187364440252,0.965622438866,0.0,0.0,0.00137194071222,0.000528500201006,0.00167883294717,0.00161671635157,0.0024110743067,8.96272525003e-07,0.000493986146962,0.00359297102448,2.64869260861e-05,0.00478920301915,0.00420151417673,4.07168210359e-05,9.16064734729e-05,0.0,0.000463460192754,0.0,9.74780097993e-06,1.63925819256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185555274252,0.000451189098134,0.0,0.0,7.73312975857e-05,0.0,0.0,0.0,0.0,2.04872402297e-05,0.0,0.0,0.0,0.0,0.0,0.000124684993457,0.00359017089568,0.000164580251794,0.0,0.0,0.0,0.0,0.0118924925646,0.0,0.0,0.0,6.71793182858e-06,2.4824180728e-08,0.0,0.0,1.15439924692e-06,0.00146668544007,0.00487556229805,0.0,0.0,0.00187844577086,0.0,0.0,0.0,0.0476316596952,0.0,0.0,1.5244086034e-06,0.000529225631484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40720654577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647916986066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385681500719,0.0,0.0,7.03332644549e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400750738712,0.0,0.0,0.0,0.0,0.0,0.0,0.000358812019343,0.0,0.0,0.0,0.000722150871867,0.0,0.0,0.0,0.0,1.91229917798e-05,0.0,0.0,0.0,0.0,0.000575177466135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699396624739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329493412123
