,CN,NL,KR,MY,DE,JP,US,RU,ZA,IN,PL,TW,ID,TR,LA,PK,VN,TH,SI,MX,AU,IT,BE,PH,CA,FR,BR,IL,CL,MA,BA,BG,SA,UA,LK,EG,AT,ES,UZ,KP,VE,IQ,FI,GR,DK,KZ,BD,IE,SG,CO,LT,GB,TN,EE,HU,SK,PT,DZ,ZM,LY,BW,CZ,RS,KH,AR,AZ,BY,NC,HR,PE,LV,AE,OM,NZ,KW,SY,RO,IR,SE,MN,QA,BH,GT,CU,NG,AM,GH,MK,JO,XK,CG,AO,TM,ZW,MM,KG,SD,NO,GE,CI,YE,TJ,MZ,LB,TT,CY,EC,RE,DO,MG,PA,AL,MU,GP,SS,KE,ME,SN,UY,BQ,CM,BO,DJ,HT,EH,TZ,NI,UG,CH,SV,GQ,MQ,GU,JM,PG,GN,CR,BN,IM,MT,ET,TD,BS,AS,HN,MD,ER,PS,BB,NE,SR,AW,BZ,PY,ML,KY,LR,RW,MR,GW,TL,TG,BF,GA,PF,BJ,AF,SL,GY,BM,CD,LC,GF,MF,MW,GM,FJ,TC,YT,ST,CV,GD,PW,FO,MP,WS,AG,SC,AQ,PM,KN,MV,LU,VC,GL,MH,GI,AI,TO,VU,SB,SO,CK,NP,MS,SZ,IS,FM,SH,DM,BT,KI,NR,KM,BI,TV,FK,CF,WF,LS,NU,LI,MC,AD,TK,GS
CN,0.998178697912,0.0,0.0106406078621,0.0025146042805,1.70727717056e-05,0.000190978191606,2.91992508355e-05,0.0,0.0,7.78059105918e-05,0.0,0.000693371329864,7.45523378851e-07,0.0,0.0,0.000686727548503,0.0,0.0,0.0,0.0,0.000176478538769,4.74240384486e-06,0.0,0.000617395950371,0.0,5.05277243975e-06,0.0,2.25560379324e-08,0.0,0.0,0.0,0.000129917419094,0.0,0.0,1.17289649075e-05,0.0,0.0,0.0,0.0,0.00157313740531,1.53396362094e-07,0.0,0.0,0.000310520102577,0.0,0.0,0.000272546912893,0.0,0.00779936863184,0.0,0.0,7.97154535093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000205833724321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359998506664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147993152596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76673724212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837410201459,0.0,2.07008460227e-05,0.0,0.0,0.0,2.58759139498e-05,0.0,0.0,0.0,0.0,0.0,0.000622608145877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014818952161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.936324014082,0.0,0.0,0.00234548078409,2.93054060458e-05,1.68979271015e-05,0.0,3.34195173458e-05,0.0,0.0,0.0,6.70183964828e-07,0.0,0.0,0.0,4.17610728456e-05,0.0,0.0,0.0,4.84613103802e-05,1.12398834765e-05,0.040658592979,4.8030930498e-06,0.0,0.000917057372286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000252250739348,0.00176214042057,0.0,0.0,0.0,3.60481588878e-05,0.000472964179648,9.16558568794e-05,7.7753342907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0025726658152,0.0,0.0,3.09791454819e-06,0.000158834988334,0.0,0.0,0.0,0.0,0.0,3.15248104576e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.81651365917e-05,0.0,0.0,9.1438093765e-05,0.0,0.0,0.0,0.0,0.0,1.72317489234e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19003794466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22660485495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000493082977405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71167161174e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,0.000769320017267,0.0,0.98842414583,0.0,0.0,0.00026121138179,0.0,0.0,0.0,5.13652148221e-06,0.0,1.25787325803e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17495523144e-05,0.0,0.0,5.95264917541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39908925844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54137483582e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49571610827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,6.75046754705e-05,0.0,0.0,0.989317222537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345571443918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05640964851e-05,0.0,0.0,0.0,0.0,5.70934738955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73329222706e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.00739587675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155748810203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016744578713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,2.79606932236e-06,0.0128078245779,0.0,0.0,0.979958116104,3.77633644238e-05,2.23408872179e-08,0.0,0.00058981696485,2.39330997773e-05,0.00350301433361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000491068819646,0.0,0.000386311594168,0.0017137496426,0.0115023953929,0.0,4.48714225544e-05,0.00490335811832,0.0,0.0,0.00228410766667,0.0,0.0,0.00290688727172,0.0,0.0,0.0,0.0,0.0128761335425,0.00560369720889,0.0,0.0,0.0,0.0,0.000977964182812,0.00141495489047,0.00303394819948,0.0,0.0,0.0,0.0,0.00224670875799,0.0,0.00349880995899,0.0,0.0,0.000225711127112,0.000645742318766,0.000161494473405,0.0,0.0,0.000859813468159,0.0,0.00125806991605,0.0,0.0,0.0,0.0,0.000146184154415,0.0,0.00014749035732,0.00235071578951,0.0,0.0,0.0,0.0,0.0,0.0,0.000156319161301,0.0,0.000154633223806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42889929676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00563893417797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,4.51434988675e-05,0.000230971700968,0.000854009972204,0.0,5.45052351569e-05,0.997659707215,1.32601548718e-05,1.95594537485e-06,0.0,5.26624985989e-05,0.0,0.0,0.000762710036252,0.0,0.0,2.9796936498e-05,0.000152589671349,0.00016882992424,0.0,0.0,0.000243185198495,7.79319201044e-06,0.0,0.000112825186979,0.0,0.0,0.000105506022503,0.0,0.0,0.0,0.0,8.39909240507e-06,0.0,0.0,3.17320545707e-06,0.0,0.0,0.0014302979964,0.0,0.0,0.0,0.0,0.0,2.00749603352e-05,0.0,0.0,0.0,0.0,1.21937026984e-05,0.0,0.0,0.000572548453145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33070413706e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00119985913485,0.0,0.0,0.0,0.0,0.0,0.00232841371147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000397700121953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000832605328828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87834354797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125348047688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545675195731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,3.63477188671e-05,0.000701355930306,0.0,0.0,1.69809493285e-07,6.98300910415e-05,0.99093075336,3.94448983928e-06,0.0,0.000171631832639,0.00328736105208,3.39299012617e-05,0.000988354780695,0.000751658319999,0.0,0.00312043858688,0.0,7.91437015205e-06,0.0,0.0,0.000221439439363,0.00366526206257,6.86515236372e-06,0.00587009214911,0.0644592934328,0.000116922646784,0.00565064393287,0.00193447294449,0.000397178948757,0.0,0.0,0.00336348788071,2.25469179501e-05,0.0,6.39929767176e-06,0.0,0.0,0.000177760427625,0.0,0.0,0.0,7.31574879209e-05,0.0,0.00012244069112,0.0,0.0,0.00288599307449,0.00141174578692,0.0143431289281,0.00985074353167,0.0,0.00324603796552,0.0,0.0,0.0,0.0,7.43573502419e-05,0.0,0.0,0.000617220690677,0.000677353180413,0.0,0.0,0.0,0.000514569723363,0.0,0.0,0.0,0.0088995016539,0.000136004515408,0.0,0.0,0.0,0.0,2.22923753417e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261628832955,0.00575151587253,0.0,0.0204690353933,0.0,0.0,0.0,0.0,0.000300289945605,0.0,0.0,0.000391816597733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04292416429e-05,0.0,0.0,0.0,0.0,0.00907033002724,0.000296912031043,0.00163934060454,0.0,0.0,0.0,0.0,0.000757603220287,0.0,0.000319205058686,0.00403652726917,0.0,0.0,0.0,0.0,0.083570120835,0.0,0.0,0.0,0.0,0.0,0.0100872517835,0.0,0.0,0.108970036195,0.0,0.0,0.0,0.00363676453736,0.0,0.0,0.0,1.63652617686e-05,0.0,0.0,0.0,0.00180023596915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403547230034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156562655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532596440633,0.262775651216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241345256509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.0,0.0,0.0,1.72236297265e-06,6.59575914932e-07,0.992839231884,0.0,0.0,0.0,0.0,0.000114261963687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02774698216e-06,9.50100399243e-06,4.50600723989e-05,0.0,0.0,0.000169977307754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298581013866,2.84768746393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56318950225e-05,0.0,0.0,0.0,0.0,0.0,2.75227709635e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000145423614553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13491450517e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.75101573368e-05,0.0,0.0,0.0,0.0,0.0,0.000423859427155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792299102038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,0.0,5.10540004888e-05,0.0,0.0,0.000165007381812,0.0,0.0,0.0,0.996513677979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26676026249e-06,1.53819309856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00267412081238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383336203916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00307240715494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510863718177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135866612183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123275974936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204150589577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,3.28532599932e-05,0.0,2.99981446787e-05,0.0,6.17050815582e-05,9.40710305583e-05,5.82181323658e-05,0.0,0.0,0.993957281397,0.0,7.45406375132e-06,0.000456506176083,0.0,0.0,0.00048959134227,0.0,0.000551036147437,0.0,0.0,0.000126621981947,4.61392156288e-05,0.0,0.000376815910784,1.22196979563e-05,2.58758512306e-07,0.000127662287228,0.0,0.0,0.0,0.0,1.42159251087e-05,0.0,0.0,0.0,0.0,0.0,7.10847453278e-07,0.0,0.0,0.0,0.0,0.0,5.17500807777e-07,0.0,0.0,0.00042120886538,0.0,0.0,0.0,0.0,0.000573687283869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145182955317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7141012125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36077051445e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129417940225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163931085272,0.0,0.0,0.0,0.0,0.0,0.0,0.447379594256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.000920980297883,0.0,0.000113708853536,0.0,0.0,0.0,0.984723660158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32841037342e-05,0.0,6.68639876131e-05,4.35815574836e-05,4.05352771132e-06,7.50125414163e-05,0.000243003732606,1.15052490662e-05,0.0,0.0,0.0,0.0,6.90807752895e-05,0.0,0.0,0.0,0.000433000706974,3.73976369408e-05,0.00215531960032,0.0,0.0,0.0,0.0,0.0,6.17604501352e-05,9.32963776033e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.90320795467e-05,0.0,0.0,1.30420538494e-05,0.0,0.00301722159005,0.0,0.0,0.0,0.0,0.00033346293477,0.0,0.0,0.0,0.00157325534564,4.994132283e-05,0.0,0.00200780958874,8.22558908946e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.32951682446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000549168204295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383066666115,0.0,0.0,0.0,0.0,0.0,0.00044366672649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156979402637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TW,2.83278623193e-05,0.0,7.10794752468e-07,0.0,0.0,0.0,1.113589346e-06,0.0,0.0,7.212322613e-07,0.0,0.998442600457,0.0,0.0,0.0,0.0,3.05189460178e-05,0.000614805939217,0.0,0.0,0.000132953081044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89778675001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00513160155e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
